scenario,seed,b,c,q,K,G,rounds,partner,model,cooperation_rate,mean_r1,mean_rho,mean_r2,mean_cfe,mean_brier,bonus,trajectory_scalar,parse_failures
43,1,3.2264939813937095,2.553293381148996,0.5,6,3,9,tit_for_tat,qwen3-8b-base,0.7777777777777778,0.5943805478962514,0.5,0.12406010150643912,0.3093515934526665,0.014197530864197536,0.024804856217666774,0.5665209478116535,1
44,0,3.472466164903713,1.6380611636780655,1.0,6,2,6,random,qwen3-8b-base,0.3333333333333333,0.32693008552335084,0.6,0.22358642368115755,0.2726063003212475,0.062222222222222213,-0.029912193714438602,0.40922799342481153,1
44,1,3.472466164903713,1.6380611636780655,1.0,6,2,6,random,qwen3-8b-base,0.16666666666666666,0.6068422792377894,0.2,0.07452880789371918,0.2997077152915649,0.03537037037037037,-0.029912193714438602,0.5265318638666531,1
45,0,3.03839757726407,1.2911258846432112,0.25,4,2,6,always_defect,qwen3-8b-base,0.16666666666666666,0.24851193131742352,1.0,0.1187447042893195,0.453052615460128,0.17708333333333334,-0.10930057797700805,0.12251356488051102,1
45,1,3.03839757726407,1.2911258846432112,0.25,4,2,6,always_defect,qwen3-8b-base,0.0,0.2982143175809082,1.0,0.1187447042893195,0.47482623590706624,0.020833333333333332,-0.11770831474447024,0.15992785145928293,1
46,0,5.950039609326533,2.2097751004762705,0.25,6,2,5,always_cooperate,qwen3-8b-base,0.0,1.0,-1.0,-0.10971106406770811,0.423472901828554,0.1864444444444444,0.11459403926037962,0.7014712928700908,0
46,1,5.950039609326533,2.2097751004762705,0.25,6,2,5,always_cooperate,qwen3-8b-base,1.0,0.7291880785207593,1.0,0.10971106406770811,0.3038230486627618,0.04577777777777779,0.16043165496453152,0.7190739492499928,0
47,0,4.852672471577184,0.4884756499943901,0.75,4,4,6,always_defect,qwen3-8b-base,0.5,0.045727588795146684,-0.2,-0.05167768603402031,0.4035512425546944,0.11458333333333333,0.022696934578317025,-0.20394289608650137,1
47,1,4.852672471577184,0.4884756499943901,0.75,4,4,6,always_defect,qwen3-8b-base,0.16666666666666666,0.07621264799191114,0.6,0.15503305810206092,0.4028248814517193,0.03125000000000001,0.0,0.0298332653681124,0
48,0,3.19265556507308,1.3562964861568823,0.25,4,4,7,tit_for_tat,qwen3-8b-base,1.0,0.7018441894127766,1.0,0.12212722853202174,0.045672570026614526,0.0625,0.016820349117731417,0.8035380399483097,0
48,1,3.19265556507308,1.3562964861568823,0.25,4,4,7,tit_for_tat,qwen3-8b-base,1.0,0.7018441894127766,1.0,0.12212722853202174,0.04713216476712038,0.0625,0.024029070168187654,0.8038380598709791,0
49,0,3.203589363681116,0.9942723927563532,1.0,6,4,6,tit_for_tat,qwen3-8b-base,1.0,0.76314789517982,1.0,0.35919683309052114,0.37556531441553465,0.07796296296296298,0.06335041920995661,0.9451204742642331,0
